"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","781249.94","0.341","0.048","0.335","0.423","0.823","2.351"
"PING_MBULK","793650.75","0.350","0.032","0.319","0.423","1.159","4.895"
"SET","769230.81","0.522","0.024","0.367","1.487","3.167","9.415"
"GET","757575.75","0.406","0.032","0.343","0.751","1.655","5.567"
"INCR","649350.62","0.583","0.032","0.439","1.815","3.247","5.303"
"LPUSH","564971.75","0.848","0.024","1.079","1.703","2.287","3.647"
"RPUSH","483091.78","1.007","0.024","1.135","2.095","2.983","4.255"
"LPOP","564971.75","0.854","0.024","1.079","1.647","2.615","6.535"
"RPOP","555555.56","0.859","0.024","1.079","1.663","3.039","6.943"
"SADD","490196.09","0.986","0.024","1.135","1.775","2.911","5.055"
"HSET","490196.09","0.986","0.032","1.151","1.735","2.391","5.191"
"SPOP","543478.25","0.824","0.024","1.007","1.655","4.623","7.935"
"LPUSH (needed to benchmark LRANGE)","602409.69","0.806","0.024","1.055","1.343","2.423","5.215"
"LRANGE_100 (first 100 elements)","136239.78","2.151","0.096","1.895","4.487","7.719","17.535"
"MSET (10 keys)","157480.31","3.112","0.144","2.623","7.047","10.191","23.583"
