"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","81967.21","0.314","0.072","0.319","0.383","0.447","3.351"
"PING_MBULK","88809.95","0.291","0.024","0.295","0.359","0.463","5.383"
"SET","87489.06","0.297","0.032","0.295","0.375","0.463","3.167"
"GET","75075.07","0.359","0.040","0.335","0.487","0.927","5.775"
"INCR","85034.02","0.309","0.024","0.303","0.415","0.527","3.887"
"LPUSH","63251.11","0.470","0.024","0.359","0.703","3.855","12.055"
"RPUSH","77279.75","0.351","0.024","0.327","0.503","1.047","7.111"
"LPOP","76687.12","0.348","0.024","0.327","0.495","0.983","4.895"
"RPOP","88261.25","0.293","0.056","0.303","0.359","0.423","1.967"
"SADD","70972.32","0.393","0.024","0.351","0.623","1.327","5.015"
"HSET","84459.46","0.311","0.024","0.311","0.375","0.471","4.959"
"SPOP","72780.20","0.392","0.024","0.327","0.543","2.663","17.791"
"LPUSH (needed to benchmark LRANGE)","83263.95","0.319","0.024","0.311","0.415","0.615","5.479"
"LRANGE_100 (first 100 elements)","48192.77","0.599","0.032","0.479","1.055","4.079","13.535"
"MSET (10 keys)","84245.99","0.321","0.024","0.311","0.423","0.703","7.007"
