"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","71736.01","0.400","0.096","0.335","0.623","2.151","5.767"
"PING_MBULK","80321.28","0.339","0.096","0.311","0.487","0.895","5.951"
"SET","81766.15","0.349","0.112","0.319","0.543","1.087","5.591"
"GET","81967.21","0.336","0.104","0.303","0.479","0.719","6.071"
"INCR","89126.56","0.315","0.088","0.303","0.511","0.647","4.055"
"LPUSH","68493.15","0.419","0.088","0.343","0.551","3.703","6.567"
"RPUSH","71428.57","0.415","0.080","0.327","0.575","4.007","6.143"
"LPOP","98716.68","0.271","0.080","0.247","0.407","0.487","0.975"
"RPOP","80775.45","0.339","0.064","0.311","0.487","0.719","6.303"
"SADD","96432.02","0.280","0.072","0.255","0.407","0.591","2.247"
"HSET","86355.79","0.315","0.104","0.303","0.439","0.671","4.903"
"SPOP","76745.97","0.360","0.064","0.327","0.503","1.055","4.807"
"LPUSH (needed to benchmark LRANGE)","79051.38","0.352","0.072","0.311","0.455","2.175","7.511"
"LRANGE_100 (first 100 elements)","51308.36","0.553","0.192","0.479","0.831","3.503","6.871"
"MSET (10 keys)","69204.15","0.552","0.088","0.519","0.847","1.399","5.799"
