"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","396825.38","0.922","0.032","0.471","4.319","5.487","17.407"
"PING_MBULK","571428.56","0.612","0.040","0.375","2.111","5.015","6.647"
"SET","378787.88","1.176","0.040","0.583","4.695","7.191","14.583"
"GET","609756.06","0.628","0.032","0.367","1.695","6.127","13.543"
"INCR","813008.12","0.473","0.032","0.343","1.391","2.559","6.031"
"LPUSH","719424.44","0.668","0.024","0.975","1.311","2.023","6.759"
"RPUSH","632911.38","0.763","0.024","1.055","1.319","2.095","3.847"
"LPOP","763358.81","0.612","0.024","0.871","1.159","1.959","4.359"
"RPOP","699300.69","0.570","0.024","0.439","1.159","1.311","2.767"
"SADD","684931.50","0.554","0.032","0.431","1.207","2.255","3.895"
"HSET","645161.31","0.742","0.024","1.031","1.183","2.023","3.303"
"SPOP","662251.69","0.678","0.024","0.671","1.279","2.759","6.071"
"LPUSH (needed to benchmark LRANGE)","775193.81","0.628","0.024","0.863","1.279","2.191","5.263"
"LRANGE_100 (first 100 elements)","184501.84","1.467","0.232","1.287","2.343","4.231","10.999"
"MSET (10 keys)","202429.16","2.442","0.144","1.943","5.967","8.599","18.911"
