"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","101522.84","0.255","0.048","0.247","0.351","0.399","1.695"
"PING_MBULK","96618.36","0.267","0.032","0.271","0.343","0.391","2.063"
"SET","98522.17","0.265","0.024","0.255","0.335","0.407","6.655"
"GET","85324.23","0.322","0.032","0.295","0.423","1.199","8.543"
"INCR","84388.19","0.330","0.016","0.295","0.415","1.239","13.751"
"LPUSH","82101.80","0.337","0.024","0.287","0.471","0.935","18.239"
"RPUSH","79113.92","0.366","0.016","0.295","0.487","2.431","26.223"
"LPOP","88495.58","0.293","0.040","0.295","0.351","0.415","3.495"
"RPOP","86805.56","0.301","0.040","0.295","0.399","0.471","4.391"
"SADD","102986.61","0.254","0.032","0.247","0.335","0.391","4.383"
"HSET","92250.92","0.282","0.048","0.287","0.343","0.407","3.927"
"SPOP","109649.12","0.238","0.016","0.231","0.319","0.375","4.671"
"LPUSH (needed to benchmark LRANGE)","74682.60","0.394","0.016","0.319","0.479","3.959","21.071"
"LRANGE_100 (first 100 elements)","41237.11","0.779","0.024","0.511","3.127","5.103","20.031"
"MSET (10 keys)","54200.54","0.681","0.024","0.391","2.463","5.223","17.743"
