"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1010101.00","0.389","0.080","0.447","0.631","0.687","0.895"
"PING_MBULK","1162790.62","0.242","0.064","0.223","0.431","0.535","0.751"
"SET","1000000.00","0.439","0.184","0.415","0.623","0.783","1.095"
"GET","892857.12","0.396","0.160","0.391","0.583","0.663","0.879"
"INCR","800000.00","0.477","0.176","0.463","0.727","0.871","1.727"
"LPUSH","884955.75","0.438","0.160","0.431","0.655","0.791","1.367"
"RPUSH","884955.75","0.361","0.080","0.351","0.543","0.679","1.103"
"LPOP","877193.00","0.477","0.160","0.471","0.695","0.783","0.991"
"RPOP","892857.12","0.432","0.160","0.423","0.631","0.711","0.903"
"SADD","840336.12","0.450","0.080","0.423","0.751","0.967","1.439"
"HSET","775193.81","0.510","0.200","0.503","0.775","0.911","1.247"
"SPOP","452488.69","0.946","0.072","0.927","2.007","2.351","5.567"
"LPUSH (needed to benchmark LRANGE)","847457.62","0.448","0.176","0.407","0.831","1.079","1.559"
"LRANGE_100 (first 100 elements)","191204.59","1.479","0.568","1.223","2.671","3.591","8.967"
"MSET (10 keys)","232018.56","2.026","0.496","1.639","3.855","4.415","6.127"
