"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","98716.68","0.264","0.064","0.271","0.367","0.447","2.695"
"PING_MBULK","111482.72","0.231","0.072","0.223","0.311","0.343","0.511"
"SET","84961.77","0.320","0.072","0.287","0.447","0.791","4.079"
"GET","114155.25","0.228","0.072","0.223","0.279","0.343","0.743"
"INCR","103199.18","0.266","0.072","0.239","0.407","0.519","3.911"
"LPUSH","92506.94","0.280","0.080","0.279","0.335","0.399","0.607"
"RPUSH","98135.42","0.274","0.152","0.279","0.399","0.551","1.215"
"LPOP","95510.98","0.288","0.088","0.279","0.487","0.583","1.119"
"RPOP","86281.27","0.300","0.072","0.287","0.407","0.439","0.991"
"SADD","87260.03","0.300","0.072","0.287","0.375","0.431","8.751"
"HSET","99304.87","0.265","0.088","0.255","0.343","0.423","8.999"
"SPOP","106044.54","0.253","0.064","0.223","0.383","0.495","0.879"
"LPUSH (needed to benchmark LRANGE)","116550.12","0.224","0.056","0.223","0.263","0.343","0.527"
"LRANGE_100 (first 100 elements)","77942.32","0.331","0.152","0.319","0.447","0.471","0.919"
"MSET (10 keys)","107526.88","0.277","0.056","0.231","0.503","0.639","1.087"
