"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","41220.11","12.111","0.536","11.911","15.863","18.271","22.751"
"PING_MBULK","40749.80","12.250","5.608","12.031","15.791","17.967","21.551"
"SET","33955.86","14.667","0.408","4.895","64.703","184.703","267.263"
"GET","40584.41","12.300","4.672","12.039","16.207","18.815","21.823"
"INCR","33478.41","14.881","0.392","5.463","70.079","157.567","193.279"
"LPUSH","20601.56","24.204","0.416","23.551","29.343","32.799","38.495"
"RPUSH","19944.16","25.000","0.504","24.383","30.655","39.807","51.999"
"LPOP","21026.07","23.716","0.504","23.375","29.071","30.815","32.959"
"RPOP","20593.08","24.220","0.400","23.423","30.703","36.479","41.151"
"SADD","20828.99","23.945","0.352","23.567","28.863","30.559","31.727"
"HSET","20644.10","24.164","0.488","23.887","29.231","31.663","47.551"
"SPOP","21454.62","23.247","0.448","22.959","28.223","30.095","32.383"
"LPUSH (needed to benchmark LRANGE)","21244.96","23.477","0.472","23.119","28.351","29.583","30.079"
"LRANGE_100 (first 100 elements)","34734.29","14.340","7.368","13.535","20.799","22.751","26.831"
"MSET (10 keys)","37835.79","13.198","7.232","12.871","17.839","20.319","25.055"
