"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","52994.17","9.417","4.304","9.191","12.599","15.351","19.023"
"PING_MBULK","51177.07","9.753","5.128","9.527","13.007","15.751","23.055"
"SET","42176.30","11.811","0.360","4.023","57.695","135.551","191.615"
"GET","51308.36","9.731","4.312","9.479","13.183","15.887","18.335"
"INCR","42408.82","11.747","0.376","4.223","56.703","134.399","209.535"
"LPUSH","25833.12","19.309","0.328","19.023","23.663","25.487","26.223"
"RPUSH","24894.20","20.035","0.360","19.711","24.991","26.831","27.855"
"LPOP","25680.53","19.423","0.432","19.023","24.623","25.711","28.559"
"RPOP","25819.78","19.320","0.440","18.959","24.031","26.719","32.239"
"SADD","25510.20","19.556","0.408","19.263","24.175","25.775","26.543"
"HSET","25157.23","19.826","0.368","19.487","25.039","26.831","27.839"
"SPOP","25793.14","19.342","0.288","19.135","23.551","26.607","28.735"
"LPUSH (needed to benchmark LRANGE)","25575.45","19.501","0.440","19.167","24.159","26.495","28.687"
"LRANGE_100 (first 100 elements)","41666.66","11.950","5.096","11.167","18.479","20.383","26.367"
"MSET (10 keys)","47755.49","10.451","5.512","10.151","14.759","17.135","20.191"
