"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","134048.27","0.192","0.032","0.191","0.231","0.287","1.103"
"PING_MBULK","134228.19","0.192","0.048","0.191","0.223","0.279","0.703"
"SET","131233.59","0.198","0.040","0.199","0.239","0.287","0.943"
"GET","128534.70","0.202","0.048","0.199","0.263","0.295","0.943"
"INCR","126262.62","0.205","0.056","0.199","0.271","0.303","0.775"
"LPUSH","117233.30","0.221","0.048","0.207","0.295","0.351","0.743"
"RPUSH","129198.97","0.201","0.040","0.199","0.247","0.295","1.191"
"LPOP","117785.63","0.220","0.056","0.207","0.279","0.343","0.751"
"RPOP","115606.94","0.225","0.032","0.207","0.311","0.391","2.927"
"SADD","111607.14","0.232","0.064","0.231","0.303","0.351","1.143"
"HSET","112739.57","0.230","0.048","0.231","0.295","0.335","1.047"
"SPOP","128534.70","0.202","0.016","0.199","0.239","0.303","1.911"
"LPUSH (needed to benchmark LRANGE)","120918.98","0.215","0.016","0.207","0.271","0.319","2.527"
"LRANGE_100 (first 100 elements)","85397.09","0.302","0.032","0.287","0.359","0.431","2.743"
"MSET (10 keys)","121951.22","0.217","0.016","0.215","0.287","0.351","4.095"
