"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1265822.75","0.210","0.064","0.207","0.263","0.343","0.479"
"PING_MBULK","1282051.25","0.202","0.064","0.199","0.239","0.303","0.423"
"SET","1098901.12","0.403","0.152","0.383","0.543","0.615","0.839"
"GET","1234567.88","0.294","0.120","0.287","0.447","0.511","0.751"
"INCR","1149425.38","0.373","0.152","0.367","0.519","0.599","0.823"
"LPUSH","1265822.75","0.269","0.088","0.263","0.391","0.447","0.559"
"RPUSH","1250000.00","0.220","0.064","0.215","0.295","0.375","0.503"
"LPOP","1162790.62","0.374","0.168","0.367","0.503","0.567","0.727"
"RPOP","1190476.25","0.327","0.088","0.327","0.479","0.535","0.735"
"SADD","1136363.62","0.299","0.080","0.263","0.527","0.695","1.039"
"HSET","1111111.12","0.368","0.160","0.367","0.527","0.591","0.807"
"SPOP","684931.50","0.624","0.088","0.615","1.319","1.527","1.919"
"LPUSH (needed to benchmark LRANGE)","1204819.38","0.260","0.080","0.247","0.375","0.543","0.927"
"LRANGE_100 (first 100 elements)","236406.61","1.057","0.400","1.007","1.495","1.703","2.391"
"MSET (10 keys)","411522.62","1.117","0.424","1.111","1.503","2.071","3.047"
