"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","763358.81","0.575","0.016","0.303","1.783","4.167","12.127"
"PING_MBULK","740740.69","0.615","0.016","0.303","1.975","5.007","22.207"
"SET","398406.41","1.246","0.032","0.759","4.151","7.487","11.279"
"GET","649350.62","0.742","0.024","0.431","2.063","6.167","19.535"
"INCR","425531.91","1.165","0.024","0.767","3.575","6.159","9.367"
"LPUSH","357142.84","1.385","0.024","1.127","3.839","7.303","12.191"
"RPUSH","342465.75","1.449","0.024","1.199","3.607","5.167","16.255"
"LPOP","389105.06","1.276","0.024","1.143","3.047","5.311","9.991"
"RPOP","371747.22","1.336","0.024","1.127","3.543","5.671","17.519"
"SADD","316455.69","1.566","0.024","1.263","4.471","7.063","17.439"
"HSET","322580.66","1.538","0.032","1.279","4.351","6.279","8.527"
"SPOP","362318.84","1.369","0.016","1.143","3.719","5.407","7.703"
"LPUSH (needed to benchmark LRANGE)","344827.59","1.441","0.024","1.135","4.167","7.719","15.319"
"LRANGE_100 (first 100 elements)","138312.59","3.416","0.096","1.927","11.919","20.895","37.791"
"MSET (10 keys)","124378.11","4.003","0.104","3.319","9.799","14.775","25.135"
