"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","115340.26","0.228","0.016","0.215","0.311","0.391","4.119"
"PING_MBULK","115606.94","0.228","0.016","0.215","0.319","0.407","2.551"
"SET","112612.61","0.238","0.008","0.223","0.319","0.567","4.911"
"GET","114155.25","0.232","0.016","0.223","0.319","0.431","4.639"
"INCR","118063.76","0.228","0.016","0.215","0.303","0.591","5.415"
"LPUSH","108225.10","0.242","0.016","0.231","0.327","0.391","1.887"
"RPUSH","108342.37","0.251","0.016","0.231","0.351","0.863","4.207"
"LPOP","106382.98","0.258","0.016","0.223","0.375","0.927","10.575"
"RPOP","112107.62","0.236","0.016","0.223","0.311","0.407","3.871"
"SADD","108108.11","0.264","0.008","0.231","0.399","1.039","11.895"
"HSET","115074.80","0.235","0.016","0.223","0.319","0.623","4.647"
"SPOP","119047.62","0.222","0.016","0.215","0.279","0.399","4.415"
"LPUSH (needed to benchmark LRANGE)","116144.02","0.230","0.016","0.223","0.303","0.519","4.263"
"LRANGE_100 (first 100 elements)","76511.09","0.374","0.024","0.319","0.623","1.343","14.431"
"MSET (10 keys)","104493.20","0.283","0.016","0.247","0.487","1.127","13.767"
