"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","128369.71","0.208","0.016","0.199","0.271","0.455","3.767"
"PING_MBULK","117370.89","0.224","0.016","0.215","0.303","0.391","2.679"
"SET","124378.11","0.213","0.016","0.207","0.271","0.407","3.567"
"GET","125470.52","0.210","0.016","0.207","0.263","0.359","1.783"
"INCR","122399.02","0.218","0.016","0.207","0.279","0.487","4.447"
"LPUSH","121654.50","0.220","0.008","0.207","0.279","0.527","4.223"
"RPUSH","117785.63","0.225","0.008","0.215","0.303","0.415","4.135"
"LPOP","118764.84","0.223","0.024","0.215","0.295","0.399","2.167"
"RPOP","108932.46","0.251","0.016","0.223","0.359","0.791","7.559"
"SADD","116550.12","0.233","0.008","0.215","0.311","0.607","7.943"
"HSET","119474.31","0.223","0.016","0.215","0.279","0.463","3.439"
"SPOP","119331.74","0.225","0.016","0.215","0.287","0.655","4.655"
"LPUSH (needed to benchmark LRANGE)","121065.38","0.216","0.016","0.215","0.271","0.359","2.639"
"LRANGE_100 (first 100 elements)","82236.84","0.353","0.024","0.303","0.615","1.319","12.791"
"MSET (10 keys)","108932.46","0.285","0.016","0.231","0.607","1.367","13.695"
