"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1000000.00","0.362","0.024","0.247","0.911","1.591","8.575"
"PING_MBULK","1020408.19","0.348","0.024","0.247","0.791","1.351","8.087"
"SET","653594.81","0.754","0.032","0.431","2.607","4.519","9.455"
"GET","751879.69","0.612","0.024","0.375","1.631","4.655","18.815"
"INCR","606060.56","0.815","0.024","0.431","3.143","5.327","12.351"
"LPUSH","497512.44","0.991","0.024","1.079","2.007","2.687","5.631"
"RPUSH","480769.22","1.024","0.024","1.079","2.135","3.567","4.767"
"LPOP","546448.06","0.901","0.024","1.063","1.511","2.311","4.847"
"RPOP","495049.50","1.000","0.024","1.071","1.919","3.855","9.911"
"SADD","446428.56","1.109","0.024","1.103","2.079","4.695","7.807"
"HSET","460829.50","1.073","0.024","1.095","2.007","2.887","6.199"
"SPOP","500000.00","0.986","0.016","1.079","2.191","4.319","6.935"
"LPUSH (needed to benchmark LRANGE)","492610.84","1.002","0.024","1.079","1.991","3.295","5.647"
"LRANGE_100 (first 100 elements)","165016.50","2.599","0.104","1.343","8.783","14.919","22.319"
"MSET (10 keys)","168634.06","2.951","0.112","2.359","7.407","11.239","20.863"
