"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","125470.52","0.211","0.016","0.199","0.295","0.423","3.071"
"PING_MBULK","118203.30","0.232","0.016","0.215","0.327","0.647","7.303"
"SET","121506.68","0.218","0.016","0.207","0.287","0.407","2.735"
"GET","121212.12","0.219","0.016","0.207","0.295","0.439","2.543"
"INCR","120336.95","0.220","0.008","0.215","0.295","0.415","3.679"
"LPUSH","122399.02","0.219","0.008","0.207","0.279","0.495","4.071"
"RPUSH","114416.48","0.230","0.008","0.223","0.295","0.391","3.391"
"LPOP","118063.76","0.224","0.008","0.215","0.295","0.407","6.135"
"RPOP","117647.05","0.223","0.024","0.215","0.287","0.367","3.383"
"SADD","118906.06","0.221","0.024","0.215","0.295","0.375","2.327"
"HSET","120627.27","0.222","0.016","0.215","0.287","0.463","4.983"
"SPOP","117233.30","0.225","0.008","0.215","0.295","0.367","3.047"
"LPUSH (needed to benchmark LRANGE)","121065.38","0.220","0.016","0.215","0.279","0.479","4.063"
"LRANGE_100 (first 100 elements)","79744.82","0.375","0.016","0.311","0.743","1.487","17.007"
"MSET (10 keys)","110741.97","0.304","0.016","0.223","0.791","1.719","19.135"
