"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1041666.69","0.311","0.024","0.247","0.687","1.143","12.871"
"PING_MBULK","806451.62","0.498","0.024","0.271","1.359","5.055","19.871"
"SET","540540.56","0.895","0.032","0.519","3.063","5.031","9.295"
"GET","781249.94","0.558","0.024","0.351","1.455","4.807","11.095"
"INCR","613496.94","0.802","0.032","0.463","2.727","4.703","10.855"
"LPUSH","518134.72","0.953","0.024","1.071","1.951","2.951","4.871"
"RPUSH","483091.78","1.024","0.024","1.087","1.863","2.863","5.591"
"LPOP","534759.31","0.926","0.024","1.063","1.615","2.431","3.615"
"RPOP","502512.56","0.988","0.024","1.071","1.967","3.447","5.879"
"SADD","460829.50","1.070","0.024","1.103","2.063","2.743","4.047"
"HSET","458715.59","1.076","0.032","1.103","1.823","2.711","4.863"
"SPOP","490196.09","1.006","0.016","1.095","1.959","4.135","6.727"
"LPUSH (needed to benchmark LRANGE)","531914.94","0.927","0.024","1.071","1.559","2.423","4.655"
"LRANGE_100 (first 100 elements)","152439.02","2.673","0.120","1.663","8.591","16.295","23.903"
"MSET (10 keys)","176366.86","2.823","0.112","2.351","6.791","9.551","19.919"
