"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","119047.62","0.223","0.016","0.215","0.311","0.487","7.375"
"PING_MBULK","107526.88","0.246","0.016","0.231","0.327","0.415","12.295"
"SET","118203.30","0.223","0.016","0.215","0.295","0.367","3.239"
"GET","104493.20","0.252","0.016","0.247","0.335","0.439","4.063"
"INCR","117233.30","0.227","0.016","0.215","0.295","0.423","3.399"
"LPUSH","115606.94","0.230","0.016","0.215","0.311","0.455","4.615"
"RPUSH","117096.02","0.225","0.024","0.215","0.295","0.375","3.095"
"LPOP","119760.48","0.221","0.016","0.215","0.271","0.407","1.887"
"RPOP","110132.16","0.247","0.016","0.223","0.343","0.743","9.335"
"SADD","112359.55","0.234","0.016","0.223","0.311","0.399","3.479"
"HSET","107181.13","0.246","0.024","0.231","0.327","0.399","2.991"
"SPOP","105042.02","0.251","0.016","0.239","0.327","0.399","2.191"
"LPUSH (needed to benchmark LRANGE)","103950.10","0.254","0.016","0.247","0.327","0.431","3.239"
"LRANGE_100 (first 100 elements)","75642.96","0.399","0.024","0.319","0.839","1.687","19.791"
"MSET (10 keys)","110619.47","0.285","0.016","0.231","0.631","1.439","6.679"
