"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","869565.19","0.488","0.016","0.295","1.287","3.903","15.383"
"PING_MBULK","806451.62","0.572","0.016","0.311","1.807","4.783","15.615"
"SET","386100.38","1.289","0.032","0.807","4.215","6.655","12.775"
"GET","740740.69","0.649","0.024","0.447","1.615","4.119","25.951"
"INCR","400000.00","1.241","0.032","0.783","4.015","5.527","9.615"
"LPUSH","354609.94","1.400","0.024","1.159","3.807","5.559","9.367"
"RPUSH","303951.38","1.631","0.024","1.255","4.703","6.959","15.959"
"LPOP","375939.84","1.317","0.024","1.119","3.543","5.623","18.559"
"RPOP","357142.84","1.387","0.024","1.151","3.775","6.983","10.095"
"SADD","303951.38","1.634","0.024","1.271","4.423","8.183","27.647"
"HSET","301204.84","1.644","0.024","1.351","4.199","6.703","10.767"
"SPOP","323624.62","1.534","0.016","1.183","4.439","7.223","11.631"
"LPUSH (needed to benchmark LRANGE)","319488.81","1.549","0.024","1.247","4.191","6.831","21.583"
"LRANGE_100 (first 100 elements)","129032.27","3.664","0.104","2.095","12.055","25.935","36.511"
"MSET (10 keys)","115874.86","4.298","0.120","3.527","10.639","16.351","28.847"
