"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","970873.81","0.354","0.024","0.255","0.839","1.687","16.639"
"PING_MBULK","1000000.00","0.347","0.024","0.247","0.943","1.455","12.687"
"SET","606060.56","0.811","0.024","0.463","2.831","5.031","8.743"
"GET","800000.00","0.576","0.032","0.407","1.559","2.543","16.007"
"INCR","617283.94","0.794","0.032","0.423","2.871","5.359","9.671"
"LPUSH","512820.53","0.968","0.024","1.071","1.647","3.839","8.319"
"RPUSH","471698.12","1.050","0.024","1.095","1.967","2.895","5.159"
"LPOP","510204.09","0.968","0.024","1.079","1.783","2.703","3.975"
"RPOP","523560.22","0.944","0.024","1.071","1.607","2.599","4.415"
"SADD","456621.00","1.079","0.024","1.103","2.047","2.855","4.895"
"HSET","444444.47","1.111","0.024","1.119","1.991","2.767","5.247"
"SPOP","454545.47","1.087","0.016","1.103","2.399","4.991","6.943"
"LPUSH (needed to benchmark LRANGE)","476190.50","1.037","0.024","1.095","2.007","2.863","4.783"
"LRANGE_100 (first 100 elements)","158227.84","2.764","0.112","1.551","9.167","14.551","26.527"
"MSET (10 keys)","160256.41","3.107","0.104","2.439","7.679","11.087","18.943"
