"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","112612.61","0.234","0.008","0.223","0.319","0.423","2.415"
"PING_MBULK","115606.94","0.229","0.008","0.223","0.311","0.439","3.159"
"SET","112866.82","0.235","0.016","0.223","0.303","0.455","4.127"
"GET","116959.06","0.226","0.024","0.215","0.303","0.399","2.623"
"INCR","108459.87","0.258","0.016","0.231","0.383","0.887","7.343"
"LPUSH","116414.43","0.228","0.024","0.223","0.287","0.423","2.679"
"RPUSH","114155.25","0.233","0.016","0.223","0.303","0.447","5.751"
"LPOP","117647.05","0.224","0.016","0.215","0.287","0.383","4.151"
"RPOP","115074.80","0.230","0.016","0.223","0.303","0.431","4.327"
"SADD","116550.12","0.227","0.024","0.223","0.303","0.407","3.015"
"HSET","114810.56","0.232","0.016","0.223","0.311","0.455","4.303"
"SPOP","109890.11","0.240","0.016","0.231","0.311","0.407","2.327"
"LPUSH (needed to benchmark LRANGE)","117508.81","0.225","0.016","0.223","0.279","0.391","2.471"
"LRANGE_100 (first 100 elements)","71275.84","0.451","0.024","0.327","1.047","2.343","19.551"
"MSET (10 keys)","96061.48","0.389","0.016","0.263","1.095","2.303","13.903"
