"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1020408.19","0.337","0.016","0.239","0.783","1.751","11.607"
"PING_MBULK","952381.00","0.400","0.024","0.255","0.951","3.927","17.103"
"SET","662251.69","0.745","0.024","0.455","2.423","4.447","11.903"
"GET","833333.38","0.535","0.024","0.343","1.359","3.791","18.431"
"INCR","680272.12","0.722","0.024","0.383","2.623","5.071","8.823"
"LPUSH","518134.72","0.952","0.024","1.071","1.759","3.455","7.279"
"RPUSH","487804.88","1.010","0.024","1.087","1.863","2.943","4.439"
"LPOP","505050.50","0.982","0.024","1.063","2.039","3.535","6.007"
"RPOP","537634.38","0.924","0.024","1.063","1.623","2.615","9.071"
"SADD","492610.84","1.001","0.024","1.079","1.767","2.799","6.159"
"HSET","473933.66","1.043","0.024","1.087","1.839","3.071","5.407"
"SPOP","529100.56","0.931","0.016","1.063","1.967","4.447","8.167"
"LPUSH (needed to benchmark LRANGE)","523560.22","0.945","0.024","1.071","1.783","2.751","5.647"
"LRANGE_100 (first 100 elements)","167785.23","2.535","0.104","1.423","8.031","12.423","23.727"
"MSET (10 keys)","189753.31","2.623","0.104","2.167","6.239","9.231","15.807"
