"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","123456.79","0.213","0.016","0.207","0.271","0.391","1.951"
"PING_MBULK","119474.31","0.220","0.016","0.215","0.287","0.407","2.015"
"SET","118623.96","0.224","0.024","0.215","0.295","0.431","4.143"
"GET","121654.50","0.217","0.016","0.215","0.279","0.407","3.975"
"INCR","117924.53","0.226","0.008","0.215","0.303","0.431","8.743"
"LPUSH","116822.43","0.224","0.024","0.215","0.303","0.375","1.823"
"RPUSH","106382.98","0.251","0.016","0.231","0.359","0.551","3.615"
"LPOP","117370.89","0.225","0.016","0.215","0.303","0.399","4.575"
"RPOP","119331.74","0.220","0.008","0.215","0.279","0.359","2.719"
"SADD","118203.30","0.224","0.016","0.215","0.287","0.423","2.815"
"HSET","115606.94","0.232","0.008","0.223","0.319","0.535","4.271"
"SPOP","112866.82","0.236","0.016","0.223","0.311","0.543","3.703"
"LPUSH (needed to benchmark LRANGE)","116279.07","0.230","0.008","0.215","0.303","0.495","4.127"
"LRANGE_100 (first 100 elements)","78369.91","0.363","0.024","0.311","0.567","1.335","14.007"
"MSET (10 keys)","112485.94","0.289","0.016","0.223","0.711","1.415","8.935"
