"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","675675.69","0.638","0.024","0.351","1.703","5.479","16.575"
"PING_MBULK","680272.12","0.661","0.016","0.327","2.503","5.535","18.751"
"SET","349650.34","1.419","0.024","0.839","4.855","8.007","14.919"
"GET","591716.00","0.823","0.024","0.455","2.519","7.007","19.551"
"INCR","371747.22","1.333","0.032","0.855","4.311","7.103","14.399"
"LPUSH","358422.91","1.380","0.024","1.119","3.855","6.719","20.543"
"RPUSH","347222.25","1.430","0.024","1.191","3.655","6.599","13.247"
"LPOP","369003.69","1.347","0.024","1.143","3.431","5.495","13.759"
"RPOP","359712.22","1.378","0.024","1.127","3.575","6.639","18.447"
"SADD","326797.41","1.512","0.024","1.199","4.279","6.215","15.423"
"HSET","320512.81","1.542","0.032","1.271","3.967","6.255","9.599"
"SPOP","349650.34","1.421","0.024","1.135","4.151","9.679","14.055"
"LPUSH (needed to benchmark LRANGE)","357142.84","1.387","0.024","1.191","3.391","6.351","11.727"
"LRANGE_100 (first 100 elements)","129032.27","3.717","0.104","2.143","12.239","22.431","42.335"
"MSET (10 keys)","116144.02","4.289","0.112","3.567","10.263","14.759","27.055"
