"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","91074.68","0.390","0.008","0.271","0.999","2.959","14.847"
"PING_MBULK","102459.02","0.337","0.008","0.239","0.823","2.031","13.399"
"SET","94161.95","0.379","0.008","0.263","0.975","2.271","16.591"
"GET","92850.51","0.398","0.008","0.255","1.071","2.759","17.087"
"INCR","96618.36","0.369","0.008","0.255","0.967","2.207","11.687"
"LPUSH","98911.96","0.358","0.008","0.247","0.903","2.223","18.975"
"RPUSH","96432.02","0.365","0.008","0.255","0.919","2.167","16.047"
"LPOP","99304.87","0.350","0.008","0.247","0.879","1.943","12.887"
"RPOP","98619.32","0.353","0.008","0.247","0.879","2.215","16.991"
"SADD","100603.62","0.345","0.008","0.247","0.871","1.903","16.039"
"HSET","102564.10","0.337","0.008","0.247","0.847","1.767","7.063"
"SPOP","100200.40","0.350","0.008","0.247","0.919","1.919","13.375"
"LPUSH (needed to benchmark LRANGE)","100401.61","0.354","0.008","0.247","0.911","1.943","21.279"
"LRANGE_100 (first 100 elements)","65402.22","0.574","0.024","0.367","1.551","3.375","22.255"
"MSET (10 keys)","83472.46","0.536","0.016","0.319","1.623","3.591","13.559"
