"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1075268.75","0.310","0.016","0.239","0.591","1.135","16.703"
"PING_MBULK","980392.19","0.404","0.024","0.263","0.927","3.399","12.559"
"SET","649350.62","0.754","0.024","0.471","2.455","4.431","9.095"
"GET","757575.75","0.615","0.024","0.351","1.527","5.119","19.087"
"INCR","689655.19","0.702","0.024","0.391","2.535","4.639","7.663"
"LPUSH","543478.25","0.909","0.024","1.063","1.631","2.423","5.431"
"RPUSH","471698.12","1.047","0.024","1.079","2.095","3.551","6.567"
"LPOP","571428.56","0.867","0.024","1.063","1.343","2.111","3.423"
"RPOP","540540.56","0.914","0.024","1.063","1.519","2.679","3.695"
"SADD","480769.22","1.026","0.024","1.095","1.847","2.703","4.503"
"HSET","465116.28","1.065","0.024","1.095","1.911","2.943","6.511"
"SPOP","531914.94","0.929","0.016","1.071","1.823","2.871","11.791"
"LPUSH (needed to benchmark LRANGE)","534759.31","0.925","0.024","1.063","1.639","2.847","7.631"
"LRANGE_100 (first 100 elements)","167224.08","2.581","0.112","1.359","8.327","16.463","36.255"
"MSET (10 keys)","189753.31","2.622","0.112","2.151","6.295","8.879","17.679"
