"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","943396.25","0.289","0.072","0.279","0.407","0.535","0.919"
"PING_MBULK","943396.25","0.278","0.080","0.271","0.335","0.423","0.695"
"SET","1000000.00","0.448","0.168","0.431","0.639","0.743","1.183"
"GET","1190476.25","0.334","0.128","0.335","0.487","0.543","0.703"
"INCR","1136363.62","0.385","0.136","0.367","0.527","0.639","1.143"
"LPUSH","1219512.12","0.333","0.128","0.327","0.487","0.535","0.703"
"RPUSH","1219512.12","0.233","0.072","0.223","0.327","0.391","0.455"
"LPOP","1136363.62","0.385","0.144","0.375","0.527","0.631","1.063"
"RPOP","1176470.62","0.358","0.088","0.351","0.519","0.631","0.903"
"SADD","1136363.62","0.326","0.088","0.295","0.591","0.783","1.247"
"HSET","1052631.62","0.420","0.176","0.399","0.591","0.711","0.951"
"SPOP","657894.75","0.660","0.064","0.647","1.415","1.647","2.063"
"LPUSH (needed to benchmark LRANGE)","1219512.12","0.314","0.136","0.311","0.471","0.559","0.791"
"LRANGE_100 (first 100 elements)","234741.78","1.091","0.376","1.031","1.575","1.855","2.655"
"MSET (10 keys)","383141.75","1.207","0.408","1.199","1.711","1.967","2.727"
