"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","119474.31","0.216","0.048","0.207","0.287","0.335","0.551"
"PING_MBULK","118483.41","0.217","0.056","0.207","0.287","0.327","0.719"
"SET","116279.07","0.224","0.024","0.215","0.303","0.351","1.175"
"GET","112359.55","0.232","0.056","0.223","0.303","0.359","3.367"
"INCR","118906.06","0.220","0.016","0.215","0.287","0.343","5.095"
"LPUSH","117370.89","0.223","0.032","0.215","0.287","0.343","2.487"
"RPUSH","117096.02","0.222","0.032","0.215","0.287","0.335","2.079"
"LPOP","112739.57","0.230","0.064","0.215","0.303","0.375","1.679"
"RPOP","118203.30","0.219","0.056","0.215","0.287","0.343","0.959"
"SADD","118623.96","0.219","0.064","0.215","0.279","0.327","3.143"
"HSET","105932.20","0.250","0.024","0.239","0.327","0.463","3.663"
"SPOP","91827.37","0.290","0.024","0.279","0.375","0.591","7.535"
"LPUSH (needed to benchmark LRANGE)","118906.06","0.218","0.040","0.215","0.271","0.335","1.615"
"LRANGE_100 (first 100 elements)","80840.74","0.323","0.024","0.311","0.407","0.559","5.823"
"MSET (10 keys)","110375.27","0.247","0.024","0.231","0.343","0.743","3.239"
