"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1204819.38","0.217","0.056","0.207","0.287","0.359","0.559"
"PING_MBULK","1265822.75","0.205","0.064","0.207","0.239","0.295","0.415"
"SET","1098901.12","0.405","0.160","0.391","0.551","0.615","0.815"
"GET","1136363.62","0.250","0.080","0.239","0.343","0.415","0.511"
"INCR","1123595.50","0.296","0.080","0.271","0.471","0.583","0.775"
"LPUSH","1250000.00","0.233","0.080","0.231","0.311","0.375","0.495"
"RPUSH","1250000.00","0.223","0.064","0.215","0.303","0.383","0.599"
"LPOP","1123595.50","0.381","0.168","0.367","0.519","0.607","0.791"
"RPOP","1020408.19","0.346","0.080","0.335","0.535","0.615","0.983"
"SADD","1162790.62","0.300","0.064","0.271","0.511","0.647","1.135"
"HSET","1111111.12","0.378","0.136","0.375","0.519","0.575","0.719"
"SPOP","684931.50","0.634","0.064","0.647","1.335","1.535","1.863"
"LPUSH (needed to benchmark LRANGE)","1204819.38","0.245","0.104","0.231","0.367","0.455","0.607"
"LRANGE_100 (first 100 elements)","248756.22","1.003","0.400","0.991","1.135","1.463","2.407"
"MSET (10 keys)","398406.41","1.149","0.424","1.143","1.551","1.807","2.847"
