"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1176470.62","0.228","0.064","0.215","0.311","0.487","0.671"
"PING_MBULK","1111111.12","0.248","0.088","0.223","0.367","0.495","0.607"
"SET","1000000.00","0.445","0.200","0.415","0.607","0.743","1.183"
"GET","1149425.38","0.274","0.064","0.255","0.407","0.575","0.991"
"INCR","1136363.62","0.354","0.144","0.343","0.535","0.727","1.079"
"LPUSH","1136363.62","0.268","0.072","0.247","0.415","0.607","1.063"
"RPUSH","1190476.25","0.251","0.072","0.231","0.415","0.631","0.911"
"LPOP","1111111.12","0.394","0.168","0.383","0.535","0.607","0.807"
"RPOP","1149425.38","0.366","0.144","0.359","0.519","0.639","1.015"
"SADD","1086956.50","0.352","0.136","0.319","0.639","0.943","1.351"
"HSET","1063829.88","0.411","0.152","0.399","0.559","0.631","0.783"
"SPOP","641025.62","0.679","0.072","0.671","1.455","1.743","2.223"
"LPUSH (needed to benchmark LRANGE)","1190476.25","0.263","0.080","0.247","0.399","0.479","0.599"
"LRANGE_100 (first 100 elements)","235294.11","1.087","0.392","1.039","1.447","2.295","3.863"
"MSET (10 keys)","384615.41","1.200","0.424","1.199","1.623","2.047","2.671"
