"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","122249.38","0.212","0.056","0.207","0.279","0.319","0.511"
"PING_MBULK","117370.89","0.222","0.096","0.207","0.287","0.343","1.359"
"SET","123456.79","0.211","0.064","0.207","0.279","0.327","0.679"
"GET","120627.27","0.214","0.056","0.207","0.279","0.319","0.999"
"INCR","121654.50","0.214","0.048","0.207","0.279","0.335","1.503"
"LPUSH","124688.28","0.208","0.064","0.207","0.255","0.311","1.311"
"RPUSH","126582.27","0.205","0.048","0.207","0.247","0.303","0.415"
"LPOP","124378.11","0.208","0.064","0.207","0.255","0.319","0.551"
"RPOP","124688.28","0.207","0.056","0.207","0.239","0.303","0.463"
"SADD","125786.16","0.206","0.048","0.207","0.247","0.311","0.495"
"HSET","121506.68","0.222","0.120","0.207","0.327","0.503","1.119"
"SPOP","104821.80","0.286","0.056","0.239","0.559","0.711","4.287"
"LPUSH (needed to benchmark LRANGE)","110741.97","0.235","0.056","0.223","0.295","0.391","0.911"
"LRANGE_100 (first 100 elements)","81766.15","0.314","0.144","0.303","0.375","0.431","0.911"
"MSET (10 keys)","117370.89","0.262","0.064","0.239","0.431","0.567","1.223"
