"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","92421.44","0.285","0.024","0.287","0.359","0.503","2.183"
"PING_MBULK","87032.20","0.302","0.016","0.303","0.367","0.511","2.159"
"SET","85178.88","0.311","0.024","0.311","0.391","0.567","4.159"
"GET","91827.37","0.285","0.032","0.271","0.367","0.455","2.095"
"INCR","84674.01","0.314","0.032","0.311","0.415","0.559","3.559"
"LPUSH","5032.71","9.916","0.104","10.143","21.087","24.911","33.535"
"RPUSH","6158.39","8.113","0.536","8.063","11.263","13.775","17.967"
"LPOP","6267.63","7.973","0.648","7.927","10.943","14.335","16.767"
"RPOP","18099.55","2.738","0.040","2.783","4.863","5.671","10.983"
"SADD","1885.73","26.495","0.144","29.007","50.271","54.207","66.751"
"HSET","1888.11","26.460","0.112","28.783","50.463","53.759","64.991"
"SPOP","2217.74","22.451","0.024","20.479","51.103","55.519","65.983"
"LPUSH (needed to benchmark LRANGE)","4895.24","10.196","0.088","10.575","20.975","25.727","36.031"
"LRANGE_100 (first 100 elements)","63051.70","0.436","0.032","0.375","0.543","1.399","5.559"
"MSET (10 keys)","92165.90","0.321","0.032","0.295","0.439","0.943","4.799"
