"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1041666.69","0.250","0.080","0.239","0.343","0.383","0.639"
"PING_MBULK","1234567.88","0.211","0.032","0.207","0.255","0.343","1.039"
"SET","961538.44","0.336","0.032","0.287","0.831","1.839","4.383"
"GET","1176470.62","0.240","0.032","0.223","0.359","0.583","5.583"
"INCR","1086956.50","0.315","0.024","0.231","0.799","2.087","5.239"
"LPUSH","943396.25","0.520","0.016","0.119","1.135","1.919","4.943"
"RPUSH","819672.12","0.602","0.016","0.807","1.103","1.535","2.991"
"LPOP","892857.12","0.465","0.016","0.271","1.167","1.775","4.991"
"RPOP","952381.00","0.507","0.016","0.111","1.159","1.855","4.167"
"SADD","840336.12","0.582","0.016","0.847","1.255","1.855","3.087"
"HSET","769230.81","0.640","0.024","0.879","1.135","1.583","2.543"
"SPOP","800000.00","0.565","0.016","0.695","1.079","1.719","5.135"
"LPUSH (needed to benchmark LRANGE)","884955.75","0.552","0.016","0.151","1.175","2.239","6.183"
"LRANGE_100 (first 100 elements)","230414.75","1.148","0.104","1.095","1.503","2.767","5.695"
"MSET (10 keys)","237529.69","2.092","0.096","1.695","5.015","6.983","10.783"
