"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","104166.67","0.248","0.056","0.255","0.303","0.343","0.775"
"PING_MBULK","125628.14","0.205","0.048","0.199","0.271","0.303","0.535"
"SET","120627.27","0.215","0.056","0.207","0.287","0.327","1.295"
"GET","123152.71","0.211","0.064","0.207","0.271","0.303","3.351"
"INCR","123762.38","0.210","0.040","0.207","0.279","0.319","1.255"
"LPUSH","120481.93","0.215","0.056","0.207","0.279","0.319","1.135"
"RPUSH","121359.23","0.213","0.056","0.207","0.279","0.319","1.071"
"LPOP","127226.46","0.203","0.064","0.207","0.239","0.295","0.831"
"RPOP","121359.23","0.214","0.048","0.207","0.279","0.311","0.911"
"SADD","101419.88","0.256","0.072","0.263","0.327","0.383","1.375"
"HSET","121951.22","0.214","0.024","0.207","0.279","0.375","1.887"
"SPOP","124533.01","0.208","0.016","0.207","0.263","0.311","1.335"
"LPUSH (needed to benchmark LRANGE)","123762.38","0.209","0.064","0.207","0.279","0.327","0.703"
"LRANGE_100 (first 100 elements)","85689.80","0.301","0.016","0.295","0.367","0.479","2.559"
"MSET (10 keys)","116009.28","0.234","0.016","0.215","0.327","0.511","4.407"
