"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","980392.19","0.268","0.064","0.271","0.375","0.415","0.615"
"PING_MBULK","1250000.00","0.208","0.064","0.207","0.247","0.311","0.407"
"SET","1052631.62","0.411","0.168","0.399","0.567","0.639","1.055"
"GET","900900.88","0.444","0.184","0.439","0.647","0.767","1.183"
"INCR","961538.44","0.372","0.160","0.351","0.567","0.647","0.871"
"LPUSH","952381.00","0.320","0.120","0.303","0.463","0.551","0.727"
"RPUSH","952381.00","0.293","0.144","0.279","0.399","0.471","0.695"
"LPOP","934579.44","0.463","0.184","0.455","0.631","0.751","0.879"
"RPOP","917431.19","0.436","0.176","0.415","0.695","0.879","1.367"
"SADD","917431.19","0.366","0.168","0.311","0.639","0.815","1.143"
"HSET","909090.94","0.458","0.160","0.455","0.655","0.783","1.231"
"SPOP","595238.12","0.714","0.072","0.711","1.447","1.695","2.431"
"LPUSH (needed to benchmark LRANGE)","970873.81","0.307","0.104","0.295","0.423","0.543","0.903"
"LRANGE_100 (first 100 elements)","244498.77","1.023","0.432","1.023","1.095","1.367","2.663"
"MSET (10 keys)","390624.97","1.170","0.472","1.159","1.551","1.823","2.975"
