"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1149425.38","0.229","0.032","0.223","0.303","0.367","1.943"
"PING_MBULK","1063829.88","0.245","0.024","0.239","0.343","0.431","1.975"
"SET","1123595.50","0.286","0.032","0.231","0.575","1.023","10.407"
"GET","1162790.62","0.236","0.032","0.223","0.319","0.575","2.351"
"INCR","1123595.50","0.283","0.024","0.231","0.615","1.167","8.551"
"LPUSH","862069.00","0.569","0.016","0.087","2.591","4.559","9.855"
"RPUSH","819672.12","0.598","0.016","0.095","2.711","4.615","10.503"
"LPOP","854700.88","0.563","0.016","0.111","2.479","4.175","9.119"
"RPOP","854700.88","0.578","0.016","0.095","2.583","4.239","9.911"
"SADD","735294.06","0.669","0.016","0.103","3.023","5.079","11.255"
"HSET","704225.31","0.701","0.024","0.087","3.535","6.215","14.383"
"SPOP","724637.69","0.611","0.016","0.199","3.063","6.311","13.935"
"LPUSH (needed to benchmark LRANGE)","840336.12","0.582","0.016","0.095","2.727","4.463","8.671"
"LRANGE_100 (first 100 elements)","227272.73","1.348","0.064","1.079","3.663","6.855","12.463"
"MSET (10 keys)","149476.83","3.335","0.072","2.423","9.159","11.823","16.911"
