"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1123595.50","0.234","0.032","0.223","0.311","0.439","2.135"
"PING_MBULK","1162790.62","0.223","0.096","0.223","0.279","0.327","0.455"
"SET","917431.19","0.479","0.024","0.279","1.455","3.111","11.775"
"GET","1086956.50","0.263","0.032","0.239","0.415","0.839","3.119"
"INCR","1041666.69","0.343","0.032","0.239","0.871","2.551","5.543"
"LPUSH","806451.62","0.594","0.016","0.679","1.215","1.935","3.591"
"RPUSH","746268.62","0.657","0.024","0.943","1.167","1.799","2.943"
"LPOP","877193.00","0.556","0.016","0.479","1.135","1.663","3.287"
"RPOP","847457.62","0.570","0.016","0.351","1.143","2.639","4.271"
"SADD","781249.94","0.626","0.024","0.975","1.183","1.575","8.615"
"HSET","704225.31","0.696","0.024","0.991","1.175","2.055","4.423"
"SPOP","787401.56","0.568","0.024","0.695","1.111","1.823","3.607"
"LPUSH (needed to benchmark LRANGE)","869565.19","0.560","0.016","0.263","1.143","1.991","4.815"
"LRANGE_100 (first 100 elements)","213675.22","1.250","0.184","1.151","1.863","3.215","7.951"
"MSET (10 keys)","297619.06","1.669","0.080","1.319","3.967","5.679","10.239"
