"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","99502.48","0.263","0.072","0.263","0.359","0.455","4.207"
"PING_MBULK","115606.94","0.223","0.088","0.207","0.295","0.343","0.535"
"SET","95693.78","0.271","0.072","0.271","0.319","0.367","0.871"
"GET","115473.45","0.224","0.072","0.215","0.295","0.351","1.175"
"INCR","94428.70","0.275","0.040","0.271","0.359","0.431","1.743"
"LPUSH","110132.16","0.235","0.056","0.223","0.311","0.367","1.119"
"RPUSH","112739.57","0.230","0.056","0.215","0.303","0.351","0.935"
"LPOP","114025.09","0.227","0.056","0.215","0.295","0.343","1.103"
"RPOP","98328.42","0.264","0.064","0.263","0.351","0.415","1.391"
"SADD","105485.23","0.246","0.048","0.239","0.319","0.375","1.119"
"HSET","113895.21","0.228","0.048","0.223","0.295","0.351","1.303"
"SPOP","103950.10","0.250","0.016","0.255","0.303","0.351","1.871"
"LPUSH (needed to benchmark LRANGE)","113765.64","0.228","0.024","0.215","0.287","0.335","1.287"
"LRANGE_100 (first 100 elements)","82236.84","0.314","0.024","0.303","0.383","0.479","3.487"
"MSET (10 keys)","106044.54","0.254","0.024","0.239","0.335","0.535","3.503"
