"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","121802.68","0.212","0.064","0.207","0.287","0.327","0.591"
"PING_MBULK","127713.92","0.202","0.064","0.199","0.239","0.303","0.471"
"SET","126742.72","0.207","0.072","0.199","0.271","0.359","0.687"
"GET","128205.13","0.203","0.056","0.199","0.247","0.319","0.535"
"INCR","118764.84","0.225","0.080","0.215","0.311","0.399","2.767"
"LPUSH","115473.45","0.225","0.056","0.215","0.311","0.383","0.695"
"RPUSH","120772.95","0.214","0.056","0.215","0.271","0.327","0.495"
"LPOP","116009.28","0.225","0.056","0.215","0.295","0.359","0.599"
"RPOP","114155.25","0.228","0.064","0.215","0.295","0.359","0.951"
"SADD","120772.95","0.215","0.072","0.215","0.279","0.335","0.535"
"HSET","119904.08","0.217","0.064","0.215","0.287","0.343","1.551"
"SPOP","120481.93","0.218","0.056","0.207","0.287","0.359","0.711"
"LPUSH (needed to benchmark LRANGE)","119331.74","0.218","0.064","0.215","0.287","0.351","0.559"
"LRANGE_100 (first 100 elements)","82918.74","0.309","0.136","0.303","0.375","0.439","1.191"
"MSET (10 keys)","119617.22","0.285","0.088","0.255","0.463","0.559","0.959"
