"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","93720.71","0.289","0.064","0.287","0.415","0.551","0.975"
"PING_MBULK","92936.80","0.291","0.080","0.287","0.391","0.503","1.303"
"SET","95510.98","0.293","0.072","0.279","0.487","0.607","1.031"
"GET","91827.37","0.283","0.080","0.287","0.327","0.407","1.239"
"INCR","97370.98","0.272","0.088","0.279","0.335","0.487","1.719"
"LPUSH","93457.94","0.280","0.072","0.279","0.343","0.439","9.007"
"RPUSH","90744.10","0.296","0.064","0.287","0.415","0.543","1.175"
"LPOP","96993.21","0.275","0.080","0.271","0.391","0.519","0.919"
"RPOP","92421.44","0.289","0.080","0.287","0.343","0.535","1.071"
"SADD","91743.12","0.304","0.088","0.295","0.471","0.599","8.879"
"HSET","87796.30","0.326","0.072","0.303","0.551","0.679","9.127"
"SPOP","89365.51","0.306","0.080","0.295","0.503","0.655","1.127"
"LPUSH (needed to benchmark LRANGE)","87642.41","0.313","0.080","0.303","0.487","0.623","1.903"
"LRANGE_100 (first 100 elements)","66622.25","0.402","0.136","0.383","0.559","0.727","1.943"
"MSET (10 keys)","92336.11","0.313","0.080","0.295","0.495","0.679","1.287"
