"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","704225.31","0.623","0.032","0.399","1.591","4.223","20.031"
"PING_MBULK","684931.50","0.651","0.040","0.431","1.703","2.871","13.679"
"SET","444444.47","1.104","0.112","0.967","2.319","3.143","9.639"
"GET","500000.00","0.976","0.072","0.847","2.055","3.311","17.391"
"INCR","478468.88","1.030","0.064","0.903","2.231","3.095","5.343"
"LPUSH","1665.25","300.136","180.352","298.239","405.503","426.751","776.191"
"RPUSH","4216.92","118.533","81.536","118.015","138.623","141.183","145.023"
"LPOP","4249.71","117.626","92.800","117.119","139.263","142.207","151.167"
"RPOP","6793.02","73.590","45.792","73.535","92.287","94.783","453.375"
"SADD","2001.28","249.346","0.512","276.735","484.095","496.639","515.583"
"HSET","478468.88","1.032","0.072","0.919","2.055","3.263","12.999"
"SPOP","2364.40","211.456","0.064","196.351","487.167","502.015","509.439"
"LPUSH (needed to benchmark LRANGE)","1663.56","300.463","169.728","297.471","402.687","429.567","884.223"
"LRANGE_100 (first 100 elements)","157480.31","2.547","0.144","1.783","7.183","12.479","28.031"
"MSET (10 keys)","200400.80","2.482","1.112","2.311","3.575","4.087","7.039"
