"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","93984.96","0.281","0.016","0.279","0.351","0.535","2.175"
"PING_MBULK","98039.22","0.267","0.016","0.255","0.351","0.447","2.847"
"SET","86805.56","0.304","0.016","0.303","0.359","0.511","2.991"
"GET","88261.25","0.298","0.024","0.303","0.367","0.487","1.983"
"INCR","99800.40","0.264","0.032","0.255","0.343","0.391","2.559"
"LPUSH","5301.38","9.409","0.072","9.903","19.727","22.303","29.247"
"RPUSH","6943.96","7.194","0.416","7.231","9.303","9.527","11.527"
"LPOP","6951.69","7.188","0.512","7.183","9.335","9.687","12.447"
"RPOP","20610.06","2.397","0.072","2.327","4.655","5.303","6.855"
"SADD","1968.70","25.380","0.128","27.503","48.351","50.943","66.047"
"HSET","103842.16","0.256","0.024","0.239","0.335","0.463","3.887"
"SPOP","2309.79","21.557","0.024","20.111","49.695","54.975","72.255"
"LPUSH (needed to benchmark LRANGE)","5377.50","9.277","0.080","9.439","19.727","23.343","30.959"
"LRANGE_100 (first 100 elements)","69060.77","0.398","0.032","0.367","0.503","1.143","11.575"
"MSET (10 keys)","89445.44","0.310","0.024","0.311","0.391","0.655","4.991"
