"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","95510.98","0.277","0.016","0.279","0.351","0.559","2.287"
"PING_MBULK","100806.45","0.262","0.016","0.247","0.351","0.519","1.695"
"SET","104384.13","0.255","0.016","0.247","0.343","0.511","4.247"
"GET","102459.02","0.258","0.032","0.247","0.335","0.407","4.199"
"INCR","97943.19","0.270","0.024","0.263","0.343","0.415","2.727"
"LPUSH","4296.09","11.620","0.032","11.519","24.159","26.991","35.455"
"RPUSH","3528.83","14.161","0.608","14.255","18.367","19.039","21.055"
"LPOP","3548.11","14.086","0.560","13.999","18.271","18.815","23.919"
"RPOP","10560.78","4.715","0.080","4.671","8.863","9.527","11.511"
"SADD","1000.85","49.928","0.136","54.335","95.103","100.991","116.927"
"HSET","992.23","50.361","0.176","54.687","96.831","102.655","125.887"
"SPOP","1181.35","42.223","0.040","39.551","97.855","107.071","361.727"
"LPUSH (needed to benchmark LRANGE)","4324.32","11.544","0.128","11.535","24.063","27.887","36.127"
"LRANGE_100 (first 100 elements)","65189.05","0.422","0.032","0.383","0.519","1.367","9.871"
"MSET (10 keys)","96432.02","0.294","0.024","0.279","0.375","0.751","5.135"
