"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","103199.18","0.270","0.016","0.247","0.415","0.791","4.991"
"PING_MBULK","100401.61","0.282","0.016","0.247","0.415","1.087","4.487"
"SET","98911.96","0.289","0.024","0.263","0.463","0.903","4.711"
"GET","95147.48","0.315","0.016","0.255","0.591","1.407","8.199"
"INCR","100704.94","0.291","0.024","0.247","0.479","1.055","9.191"
"LPUSH","100401.61","0.282","0.016","0.255","0.423","0.871","4.367"
"RPUSH","102040.81","0.287","0.016","0.247","0.479","1.183","5.895"
"LPOP","100806.45","0.287","0.024","0.247","0.463","1.039","6.463"
"RPOP","104058.27","0.270","0.016","0.239","0.399","0.863","7.159"
"SADD","99009.90","0.290","0.016","0.255","0.471","1.031","3.959"
"HSET","97181.73","0.311","0.016","0.255","0.599","1.423","7.703"
"SPOP","100502.52","0.287","0.016","0.247","0.463","0.991","4.279"
"LPUSH (needed to benchmark LRANGE)","92250.92","0.329","0.016","0.271","0.655","1.511","5.423"
"LRANGE_100 (first 100 elements)","66181.34","0.493","0.024","0.367","1.199","2.487","15.031"
"MSET (10 keys)","96061.48","0.409","0.024","0.279","1.111","2.135","10.511"
