"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1010101.00","0.277","0.032","0.255","0.367","1.079","3.079"
"PING_MBULK","934579.44","0.317","0.032","0.263","0.559","1.351","13.927"
"SET","980392.19","0.354","0.024","0.279","0.799","1.807","5.351"
"GET","934579.44","0.358","0.032","0.263","0.919","1.847","4.431"
"INCR","854700.88","0.485","0.032","0.327","1.607","2.887","5.663"
"LPUSH","680272.12","0.691","0.024","0.679","1.639","2.927","8.903"
"RPUSH","617283.94","0.779","0.024","1.015","1.647","3.111","5.327"
"LPOP","775193.81","0.614","0.024","0.735","1.247","2.071","5.671"
"RPOP","781249.94","0.625","0.024","0.983","1.239","1.783","2.847"
"SADD","636942.62","0.762","0.024","1.023","1.335","2.959","5.383"
"HSET","595238.12","0.830","0.024","1.031","1.279","2.495","5.751"
"SPOP","653594.81","0.686","0.024","0.823","1.295","3.023","5.583"
"LPUSH (needed to benchmark LRANGE)","735294.06","0.654","0.024","0.943","1.287","2.191","5.391"
"LRANGE_100 (first 100 elements)","180831.83","1.632","0.136","1.311","3.967","7.839","19.455"
"MSET (10 keys)","218818.39","2.266","0.120","1.831","5.375","7.575","13.119"
