"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","111982.08","0.230","0.032","0.223","0.295","0.351","0.927"
"PING_MBULK","111358.58","0.232","0.056","0.223","0.287","0.343","0.823"
"SET","110497.24","0.236","0.032","0.231","0.311","0.367","2.095"
"GET","110132.16","0.236","0.032","0.231","0.303","0.359","2.735"
"INCR","110864.74","0.235","0.024","0.231","0.303","0.351","2.911"
"LPUSH","108695.65","0.239","0.056","0.231","0.303","0.351","0.991"
"RPUSH","109051.26","0.239","0.024","0.231","0.303","0.359","3.319"
"LPOP","108813.92","0.241","0.016","0.231","0.303","0.383","8.111"
"RPOP","100704.94","0.265","0.024","0.239","0.343","0.591","3.455"
"SADD","105820.11","0.248","0.032","0.239","0.335","0.431","3.767"
"HSET","105374.08","0.250","0.016","0.239","0.327","0.415","2.639"
"SPOP","104384.13","0.251","0.024","0.239","0.327","0.431","2.791"
"LPUSH (needed to benchmark LRANGE)","95785.44","0.276","0.024","0.255","0.399","0.543","3.887"
"LRANGE_100 (first 100 elements)","72463.77","0.360","0.016","0.335","0.479","0.695","4.135"
"MSET (10 keys)","99304.87","0.277","0.024","0.255","0.367","0.903","2.951"
