"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","581395.31","0.811","0.032","0.431","3.071","6.535","18.911"
"PING_MBULK","602409.69","0.786","0.032","0.487","2.447","4.887","16.015"
"SET","359712.22","1.369","0.048","0.703","5.055","8.423","16.303"
"GET","526315.81","0.930","0.040","0.631","2.823","5.591","11.199"
"INCR","347222.25","1.419","0.040","0.767","4.951","8.543","13.895"
"LPUSH","293255.12","1.672","0.040","1.487","3.471","5.183","8.079"
"RPUSH","259067.36","1.899","0.040","1.751","4.167","5.847","8.447"
"LPOP","304878.03","1.613","0.040","1.519","3.359","4.663","6.663"
"RPOP","298507.47","1.649","0.040","1.487","3.335","4.783","11.455"
"SADD","269541.78","1.817","0.040","1.591","4.191","5.647","11.791"
"HSET","276243.09","1.783","0.040","1.639","3.559","5.663","8.895"
"SPOP","293255.12","1.679","0.032","1.527","3.615","6.759","11.359"
"LPUSH (needed to benchmark LRANGE)","287356.34","1.714","0.040","1.543","3.591","5.871","10.167"
"LRANGE_100 (first 100 elements)","142450.14","3.049","0.128","1.815","9.319","16.527","28.063"
"MSET (10 keys)","137741.05","3.600","0.120","3.095","8.343","11.495","22.399"
