"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","102459.02","0.266","0.016","0.247","0.367","0.671","8.727"
"PING_MBULK","102249.49","0.266","0.024","0.247","0.359","0.743","8.175"
"SET","101419.88","0.277","0.016","0.247","0.415","0.911","4.103"
"GET","101936.80","0.271","0.016","0.247","0.383","0.727","3.639"
"INCR","102354.15","0.273","0.016","0.247","0.407","0.959","3.543"
"LPUSH","94876.66","0.306","0.016","0.263","0.543","1.215","4.839"
"RPUSH","102774.92","0.272","0.016","0.247","0.399","0.967","4.895"
"LPOP","100806.45","0.279","0.016","0.247","0.423","1.087","4.247"
"RPOP","98135.42","0.284","0.016","0.255","0.415","0.943","5.887"
"SADD","104058.27","0.266","0.016","0.247","0.383","0.767","3.495"
"HSET","99601.60","0.283","0.008","0.255","0.431","0.943","8.135"
"SPOP","98328.42","0.284","0.016","0.255","0.423","1.015","4.087"
"LPUSH (needed to benchmark LRANGE)","98039.22","0.291","0.016","0.255","0.455","1.199","6.599"
"LRANGE_100 (first 100 elements)","67476.38","0.472","0.032","0.359","1.055","2.463","19.855"
"MSET (10 keys)","94073.38","0.388","0.016","0.287","0.991","1.839","15.231"
