"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1020408.19","0.256","0.056","0.247","0.335","0.399","1.535"
"PING_MBULK","970873.81","0.274","0.032","0.263","0.375","0.503","1.647"
"SET","909090.94","0.407","0.032","0.303","1.143","2.095","5.263"
"GET","934579.44","0.316","0.032","0.271","0.535","1.095","8.383"
"INCR","970873.81","0.378","0.032","0.279","0.919","2.479","5.823"
"LPUSH","819672.12","0.596","0.024","0.863","1.223","2.015","4.823"
"RPUSH","662251.69","0.743","0.024","0.983","1.255","2.111","4.047"
"LPOP","729927.06","0.661","0.024","0.967","1.199","3.943","5.231"
"RPOP","806451.62","0.603","0.016","0.935","1.199","1.951","3.007"
"SADD","729927.06","0.671","0.024","1.015","1.215","1.791","2.543"
"HSET","641025.62","0.765","0.024","0.983","1.183","2.007","3.895"
"SPOP","694444.50","0.644","0.024","0.799","1.151","2.087","3.951"
"LPUSH (needed to benchmark LRANGE)","763358.81","0.636","0.024","0.991","1.167","2.031","4.751"
"LRANGE_100 (first 100 elements)","203252.03","1.423","0.096","1.199","2.831","7.239","12.135"
"MSET (10 keys)","249376.56","1.994","0.096","1.599","4.799","6.703","12.615"
