"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","109649.12","0.235","0.072","0.231","0.303","0.343","0.615"
"PING_MBULK","109170.30","0.236","0.064","0.231","0.295","0.343","0.631"
"SET","109649.12","0.236","0.048","0.231","0.303","0.351","1.167"
"GET","111234.70","0.233","0.080","0.231","0.303","0.343","0.759"
"INCR","109529.02","0.237","0.048","0.231","0.303","0.351","1.055"
"LPUSH","112359.55","0.231","0.024","0.223","0.295","0.343","1.311"
"RPUSH","114285.71","0.227","0.056","0.223","0.295","0.359","0.919"
"LPOP","116959.06","0.222","0.056","0.223","0.255","0.311","1.007"
"RPOP","115740.73","0.224","0.048","0.223","0.279","0.319","1.871"
"SADD","111856.82","0.232","0.040","0.223","0.295","0.343","0.823"
"HSET","114547.53","0.227","0.024","0.223","0.287","0.335","0.943"
"SPOP","110375.27","0.236","0.024","0.223","0.303","0.367","4.311"
"LPUSH (needed to benchmark LRANGE)","111111.12","0.233","0.064","0.231","0.303","0.327","1.023"
"LRANGE_100 (first 100 elements)","78186.08","0.330","0.032","0.319","0.399","0.495","3.839"
"MSET (10 keys)","108459.87","0.247","0.024","0.239","0.335","0.455","5.063"
