"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","102880.66","0.254","0.112","0.239","0.335","0.407","2.407"
"PING_MBULK","106382.98","0.244","0.048","0.231","0.311","0.383","4.727"
"SET","108932.46","0.243","0.080","0.231","0.327","0.431","2.871"
"GET","105374.08","0.250","0.096","0.231","0.335","0.471","3.255"
"INCR","107066.38","0.246","0.072","0.231","0.327","0.423","2.615"
"LPUSH","104931.80","0.254","0.064","0.231","0.343","0.535","8.799"
"RPUSH","106269.93","0.244","0.064","0.223","0.327","0.407","2.647"
"LPOP","118203.30","0.218","0.056","0.215","0.247","0.311","0.463"
"RPOP","114416.48","0.226","0.096","0.215","0.303","0.375","2.127"
"SADD","108932.46","0.240","0.056","0.223","0.311","0.391","8.983"
"HSET","101832.99","0.266","0.056","0.231","0.391","0.551","8.831"
"SPOP","107874.87","0.247","0.072","0.231","0.343","0.487","2.463"
"LPUSH (needed to benchmark LRANGE)","101419.88","0.258","0.064","0.255","0.327","0.399","2.695"
"LRANGE_100 (first 100 elements)","73099.41","0.353","0.152","0.335","0.447","0.543","3.279"
"MSET (10 keys)","107758.62","0.307","0.136","0.279","0.511","0.647","2.447"
