"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1041666.69","0.320","0.024","0.239","0.711","1.735","8.159"
"PING_MBULK","990099.00","0.379","0.016","0.247","1.007","1.551","10.015"
"SET","671140.94","0.736","0.024","0.407","2.663","4.679","7.199"
"GET","869565.19","0.515","0.024","0.351","1.287","1.999","13.703"
"INCR","689655.19","0.716","0.024","0.399","2.479","4.343","7.623"
"LPUSH","549450.56","0.899","0.024","1.063","1.551","2.711","4.647"
"RPUSH","476190.50","1.037","0.024","1.079","2.079","3.503","8.823"
"LPOP","555555.56","0.889","0.024","1.055","1.671","2.703","4.247"
"RPOP","526315.81","0.937","0.024","1.063","1.815","3.215","6.391"
"SADD","487804.88","1.018","0.024","1.087","1.895","2.791","5.959"
"HSET","446428.56","1.108","0.024","1.087","2.239","3.815","8.167"
"SPOP","518134.72","0.954","0.016","1.071","1.951","3.559","6.215"
"LPUSH (needed to benchmark LRANGE)","555555.56","0.889","0.024","1.063","1.463","2.471","5.399"
"LRANGE_100 (first 100 elements)","170648.45","2.485","0.104","1.303","8.207","13.551","27.775"
"MSET (10 keys)","180505.41","2.757","0.096","2.263","6.711","9.535","23.199"
