"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","116550.12","0.227","0.016","0.215","0.319","0.479","4.415"
"PING_MBULK","116686.12","0.226","0.016","0.215","0.311","0.415","3.831"
"SET","113895.21","0.237","0.016","0.223","0.319","0.663","4.055"
"GET","118063.76","0.224","0.008","0.215","0.303","0.423","5.007"
"INCR","113765.64","0.235","0.024","0.223","0.319","0.503","3.559"
"LPUSH","118203.30","0.223","0.016","0.215","0.287","0.375","1.919"
"RPUSH","117096.02","0.228","0.008","0.215","0.295","0.447","8.103"
"LPOP","117233.30","0.224","0.008","0.215","0.295","0.375","4.759"
"RPOP","119189.52","0.222","0.016","0.215","0.287","0.423","4.247"
"SADD","110741.97","0.249","0.008","0.223","0.367","0.863","4.855"
"HSET","117370.89","0.226","0.008","0.223","0.295","0.439","4.223"
"SPOP","120336.95","0.221","0.016","0.215","0.271","0.447","3.535"
"LPUSH (needed to benchmark LRANGE)","120918.98","0.217","0.024","0.215","0.263","0.359","1.871"
"LRANGE_100 (first 100 elements)","78926.60","0.373","0.024","0.311","0.671","1.463","12.831"
"MSET (10 keys)","109289.62","0.306","0.016","0.231","0.799","1.591","7.495"
