"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","961538.44","0.347","0.024","0.263","0.807","1.511","17.823"
"PING_MBULK","961538.44","0.399","0.024","0.263","0.935","3.047","13.015"
"SET","657894.75","0.748","0.024","0.455","2.511","4.023","6.359"
"GET","917431.19","0.436","0.032","0.303","1.135","1.951","13.063"
"INCR","649350.62","0.753","0.024","0.423","2.679","4.839","7.983"
"LPUSH","526315.81","0.937","0.024","1.071","1.647","2.367","5.279"
"RPUSH","467289.72","1.058","0.024","1.087","2.095","3.343","6.095"
"LPOP","555555.56","0.890","0.024","1.063","1.599","2.623","5.487"
"RPOP","523560.22","0.940","0.024","1.071","1.655","2.983","5.495"
"SADD","483091.78","1.021","0.024","1.079","1.951","2.967","4.567"
"HSET","444444.47","1.112","0.024","1.103","2.143","3.583","7.743"
"SPOP","529100.56","0.926","0.016","1.071","1.999","3.255","5.935"
"LPUSH (needed to benchmark LRANGE)","543478.25","0.912","0.024","1.063","1.719","2.719","9.031"
"LRANGE_100 (first 100 elements)","170940.17","2.506","0.112","1.319","8.223","13.479","24.895"
"MSET (10 keys)","189035.92","2.634","0.104","2.135","6.383","9.127","17.071"
