"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","125628.14","0.211","0.016","0.207","0.287","0.431","4.095"
"PING_MBULK","120918.98","0.221","0.016","0.207","0.303","0.471","7.655"
"SET","124688.28","0.212","0.008","0.207","0.271","0.367","4.503"
"GET","124843.95","0.213","0.008","0.207","0.263","0.399","3.783"
"INCR","125000.00","0.210","0.024","0.207","0.255","0.343","2.175"
"LPUSH","119189.52","0.220","0.016","0.215","0.287","0.375","2.103"
"RPUSH","121951.22","0.218","0.024","0.207","0.271","0.455","7.575"
"LPOP","122100.12","0.218","0.008","0.215","0.271","0.439","4.111"
"RPOP","120481.93","0.221","0.008","0.215","0.279","0.455","4.607"
"SADD","118203.30","0.224","0.016","0.215","0.287","0.399","3.487"
"HSET","119760.48","0.222","0.008","0.215","0.287","0.415","3.751"
"SPOP","121802.68","0.218","0.016","0.215","0.271","0.519","2.631"
"LPUSH (needed to benchmark LRANGE)","121359.23","0.219","0.008","0.215","0.271","0.455","3.807"
"LRANGE_100 (first 100 elements)","76804.91","0.367","0.024","0.319","0.551","1.303","9.279"
"MSET (10 keys)","111607.14","0.301","0.016","0.223","0.759","1.575","14.167"
