"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","833333.31","0.325","0.032","0.303","0.455","0.975","1.847"
"PING_MBULK","909090.94","0.360","0.032","0.271","0.855","2.079","3.695"
"SET","526315.81","0.900","0.032","0.479","3.551","4.871","6.823"
"GET","800000.00","0.482","0.040","0.319","1.423","2.439","4.479"
"INCR","588235.25","0.791","0.032","0.383","3.359","5.415","8.663"
"LPUSH","400000.00","1.213","0.024","1.135","2.055","3.999","5.111"
"RPUSH","384615.38","1.259","0.032","1.159","2.447","4.431","4.791"
"LPOP","377358.50","1.274","0.024","1.111","2.927","4.311","5.191"
"RPOP","384615.38","1.245","0.024","1.071","4.079","5.287","6.151"
"SADD","408163.28","1.190","0.024","1.079","3.671","4.839","6.527"
"HSET","357142.84","1.364","0.032","1.207","3.839","5.303","6.527"
"SPOP","392156.88","1.237","0.032","1.135","2.199","4.279","4.975"
"LPUSH (needed to benchmark LRANGE)","384615.38","1.265","0.024","1.119","3.695","5.447","7.351"
"LRANGE_100 (first 100 elements)","134228.19","2.688","0.152","1.559","8.727","15.359","20.399"
"MSET (10 keys)","158730.16","3.069","0.136","2.479","6.839","15.127","19.647"
