"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","88495.58","0.312","0.040","0.271","0.407","1.063","4.695"
"PING_MBULK","80971.66","0.343","0.040","0.295","0.487","1.455","4.335"
"SET","90497.73","0.312","0.048","0.255","0.423","2.695","4.263"
"GET","90090.09","0.315","0.024","0.255","0.455","2.583","5.807"
"INCR","95238.10","0.300","0.024","0.255","0.471","1.183","7.127"
"LPUSH","94786.73","0.281","0.032","0.263","0.375","0.719","2.279"
"RPUSH","95693.77","0.292","0.024","0.247","0.423","1.671","4.095"
"LPOP","88495.58","0.323","0.032","0.255","0.407","3.303","4.711"
"RPOP","89285.71","0.317","0.024","0.263","0.463","2.119","4.151"
"SADD","96618.36","0.288","0.024","0.247","0.383","1.631","4.263"
"HSET","90497.73","0.302","0.024","0.263","0.479","0.951","4.103"
"SPOP","88105.73","0.325","0.024","0.263","0.471","1.847","6.359"
"LPUSH (needed to benchmark LRANGE)","81632.65","0.337","0.032","0.303","0.463","1.223","4.263"
"LRANGE_100 (first 100 elements)","59171.60","0.515","0.040","0.359","0.975","4.415","6.647"
"MSET (10 keys)","90909.09","0.334","0.024","0.271","0.599","1.367","7.951"
