test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,88888.890000,2828.620000,0.312000,0.006000,0.040000,0.040000,0.263000,0.016000,0.407000,0.032000,1.327000,1.288000,4.695000,1.072000
PING_MBULK,89686.090000,12051.600000,0.315000,0.040000,0.024000,0.024000,0.263000,0.040000,0.447000,0.064000,1.607000,0.232000,4.679000,5.176000
SET,90497.730000,3703.700000,0.312000,0.016000,0.032000,0.024000,0.255000,0.008000,0.423000,0.040000,2.135000,1.152000,4.263000,1.352000
GET,90090.090000,3806.620000,0.310000,0.012000,0.024000,0.032000,0.255000,0.000000,0.423000,0.040000,2.823000,0.320000,4.999000,1.408000
INCR,86580.090000,9768.010000,0.320000,0.034000,0.032000,0.032000,0.263000,0.024000,0.471000,0.064000,1.455000,0.672000,6.391000,2.184000
LPUSH,94786.730000,13270.890000,0.288000,0.048000,0.032000,0.024000,0.263000,0.048000,0.415000,0.072000,0.919000,0.240000,4.303000,3.024000
RPUSH,87719.300000,13726.560000,0.318000,0.062000,0.024000,0.008000,0.271000,0.056000,0.479000,0.136000,1.303000,0.384000,4.479000,5.864000
LPOP,88495.580000,11067.870000,0.323000,0.055000,0.032000,0.008000,0.271000,0.056000,0.447000,0.120000,1.527000,2.144000,4.711000,0.992000
RPOP,89285.710000,4579.710000,0.317000,0.010000,0.024000,0.000000,0.263000,0.008000,0.447000,0.040000,1.719000,0.632000,4.639000,1.232000
SADD,89686.090000,7332.650000,0.314000,0.030000,0.024000,0.008000,0.263000,0.024000,0.399000,0.064000,2.351000,1.096000,4.463000,1.224000
HSET,88105.730000,8865.080000,0.329000,0.058000,0.016000,0.008000,0.263000,0.032000,0.479000,0.024000,3.343000,2.408000,5.967000,6.832000
SPOP,88105.730000,6233.890000,0.312000,0.032000,0.024000,0.008000,0.263000,0.016000,0.431000,0.072000,1.111000,0.768000,5.191000,1.408000
LPUSH (needed to benchmark LRANGE),94786.730000,14985.710000,0.294000,0.055000,0.032000,0.008000,0.255000,0.056000,0.447000,0.088000,0.943000,0.320000,4.479000,0.488000
LRANGE_100 (first 100 elements),62500.000000,3524.320000,0.479000,0.039000,0.040000,0.008000,0.359000,0.000000,0.975000,0.104000,3.511000,1.560000,6.807000,7.952000
MSET (10 keys),90909.090000,5854.110000,0.334000,0.041000,0.024000,0.000000,0.271000,0.008000,0.599000,0.216000,2.079000,1.656000,7.951000,10.456000
