test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,188679.250000,28153.160000,2.600000,0.332000,0.032000,0.016000,1.807000,0.408000,7.679000,1.480000,11.231000,6.952000,17.039000,9.448000
PING_MBULK,190476.200000,14814.810000,2.550000,0.150000,0.032000,0.008000,2.031000,0.224000,6.735000,0.048000,9.615000,1.504000,16.751000,4.896000
SET,151515.160000,9814.630000,3.252000,0.218000,0.048000,0.008000,1.191000,0.352000,14.063000,1.200000,25.103000,13.616000,35.007000,12.592000
GET,190476.200000,35919.530000,2.596000,0.509000,0.048000,0.008000,1.887000,0.160000,7.591000,1.872000,11.455000,7.576000,19.359000,7.160000
INCR,144927.550000,11153.880000,3.390000,0.272000,0.048000,0.000000,1.407000,0.560000,12.519000,3.352000,27.231000,11.952000,32.799000,11.152000
LPUSH,136054.420000,19936.210000,3.628000,0.520000,0.048000,0.016000,3.271000,0.264000,7.007000,1.312000,10.255000,2.888000,12.559000,1.720000
RPUSH,153846.160000,5785.040000,3.190000,0.137000,0.048000,0.008000,2.999000,0.120000,6.095000,0.648000,8.583000,4.560000,12.311000,9.168000
LPOP,163934.420000,26854.240000,2.993000,0.547000,0.040000,0.024000,2.887000,0.240000,5.215000,2.016000,7.143000,4.816000,8.719000,5.312000
RPOP,155038.770000,17094.010000,3.152000,0.298000,0.040000,0.008000,2.919000,0.280000,6.295000,0.520000,7.655000,2.616000,9.519000,1.104000
SADD,149253.730000,18716.730000,3.208000,0.426000,0.048000,0.016000,2.991000,0.200000,5.879000,0.640000,7.759000,2.248000,9.767000,2.440000
HSET,153846.160000,2367.000000,3.201000,0.061000,0.048000,0.008000,3.031000,0.128000,6.039000,0.808000,9.311000,2.328000,10.639000,2.008000
SPOP,150375.940000,20139.860000,3.295000,0.435000,0.056000,0.016000,2.999000,0.424000,7.311000,1.912000,11.495000,4.192000,12.479000,4.744000
LPUSH (needed to benchmark LRANGE),151515.160000,16875.610000,3.261000,0.374000,0.040000,0.000000,3.023000,0.144000,6.759000,0.592000,8.967000,1.320000,10.599000,2.736000
LRANGE_100 (first 100 elements),109289.620000,8752.180000,4.408000,0.368000,0.112000,0.008000,2.463000,0.472000,14.103000,1.544000,24.975000,5.488000,34.719000,9.248000
MSET (10 keys),107526.880000,10009.430000,4.613000,0.399000,0.128000,0.032000,3.823000,0.448000,10.727000,0.672000,15.983000,2.704000,26.895000,5.632000
