"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","180180.17","2.679","0.024","2.079","7.679","11.231","17.039"
"PING_MBULK","190476.20","2.550","0.032","2.031","6.711","9.615","13.343"
"SET","151515.16","3.252","0.048","1.191","14.063","34.079","40.223"
"GET","172413.80","2.860","0.048","1.951","8.047","16.463","21.471"
"INCR","155038.77","3.168","0.048","1.407","12.519","27.231","32.799"
"LPUSH","136054.42","3.628","0.048","3.271","7.007","10.087","12.319"
"RPUSH","155038.77","3.174","0.048","2.999","5.863","6.783","8.463"
"LPOP","163934.42","2.993","0.064","2.887","5.015","6.935","8.039"
"RPOP","155038.77","3.173","0.048","2.943","6.295","9.999","10.591"
"SADD","162601.62","3.011","0.048","2.935","5.399","6.927","11.743"
"HSET","155038.77","3.165","0.048","2.999","6.807","9.311","10.639"
"SPOP","150375.94","3.295","0.040","2.783","7.439","13.559","15.319"
"LPUSH (needed to benchmark LRANGE)","163934.42","2.989","0.040","2.895","6.407","8.111","9.391"
"LRANGE_100 (first 100 elements)","109289.62","4.408","0.120","2.311","14.751","24.975","35.775"
"MSET (10 keys)","113636.37","4.362","0.128","3.647","10.247","14.127","22.847"
