"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","93896.71","0.375","0.016","0.255","1.055","2.711","9.535"
"PING_MBULK","95693.77","0.376","0.016","0.255","0.991","2.711","10.775"
"SET","96153.84","0.370","0.016","0.255","0.935","3.103","7.967"
"GET","93023.26","0.399","0.016","0.255","1.063","3.159","9.591"
"INCR","92592.59","0.392","0.016","0.271","0.967","2.343","11.855"
"LPUSH","89686.09","0.398","0.008","0.263","1.103","2.735","7.439"
"RPUSH","97560.98","0.360","0.008","0.247","0.959","2.759","7.527"
"LPOP","96618.36","0.360","0.016","0.247","0.919","2.703","5.623"
"RPOP","88495.58","0.393","0.016","0.271","1.015","2.575","13.471"
"SADD","97087.38","0.368","0.008","0.255","0.967","2.687","6.775"
"HSET","97560.98","0.386","0.016","0.255","1.063","2.543","9.063"
"SPOP","98522.17","0.357","0.016","0.247","0.927","2.423","8.671"
"LPUSH (needed to benchmark LRANGE)","102040.82","0.338","0.016","0.247","0.871","2.335","8.727"
"LRANGE_100 (first 100 elements)","65789.48","0.594","0.024","0.343","1.623","5.239","18.335"
"MSET (10 keys)","85470.09","0.512","0.016","0.303","1.487","3.479","21.503"
