test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,93896.710000,10587.390000,0.380000,0.064000,0.008000,0.008000,0.255000,0.040000,1.079000,0.176000,3.415000,1.472000,9.535000,8.320000
PING_MBULK,97087.380000,1867.210000,0.365000,0.011000,0.008000,0.008000,0.255000,0.008000,0.895000,0.096000,2.711000,0.736000,10.775000,3.872000
SET,92165.900000,11408.070000,0.399000,0.100000,0.016000,0.008000,0.263000,0.016000,0.935000,0.488000,3.391000,1.080000,8.183000,41.568000
GET,93023.260000,9856.860000,0.399000,0.099000,0.008000,0.008000,0.255000,0.008000,1.063000,0.504000,3.159000,2.208000,9.591000,11.144000
INCR,96153.840000,6417.310000,0.379000,0.033000,0.016000,0.000000,0.263000,0.024000,0.967000,0.176000,2.343000,0.760000,7.631000,5.824000
LPUSH,93457.950000,7874.890000,0.398000,0.024000,0.008000,0.008000,0.255000,0.016000,1.095000,0.048000,2.735000,0.832000,7.439000,5.200000
RPUSH,99009.900000,1448.920000,0.359000,0.003000,0.016000,0.008000,0.247000,0.000000,0.951000,0.016000,2.639000,0.696000,7.527000,1.784000
LPOP,101010.100000,5945.750000,0.355000,0.014000,0.016000,0.000000,0.247000,0.000000,0.895000,0.064000,2.247000,0.816000,6.175000,2.328000
RPOP,96618.360000,11006.900000,0.376000,0.025000,0.008000,0.008000,0.247000,0.032000,0.983000,0.080000,2.591000,0.160000,9.311000,6.192000
SADD,97560.980000,2912.620000,0.368000,0.024000,0.016000,0.008000,0.247000,0.008000,0.967000,0.024000,2.687000,0.808000,6.775000,5.328000
HSET,99502.480000,2941.540000,0.360000,0.033000,0.016000,0.000000,0.247000,0.008000,0.935000,0.136000,2.199000,0.664000,9.063000,1.048000
SPOP,99502.480000,5644.490000,0.355000,0.033000,0.016000,0.008000,0.247000,0.008000,0.919000,0.200000,2.423000,0.712000,9.559000,1.488000
LPUSH (needed to benchmark LRANGE),99502.480000,8144.110000,0.357000,0.067000,0.016000,0.000000,0.247000,0.000000,0.959000,0.248000,2.335000,1.552000,8.727000,5.832000
LRANGE_100 (first 100 elements),65789.480000,4419.840000,0.594000,0.079000,0.024000,0.008000,0.351000,0.016000,1.623000,0.248000,5.079000,1.632000,12.423000,5.984000
MSET (10 keys),85106.380000,3165.570000,0.519000,0.030000,0.016000,0.000000,0.303000,0.024000,1.607000,0.176000,3.383000,0.408000,9.599000,13.328000
