test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,909090.940000,238095.250000,0.388000,0.099000,0.024000,0.000000,0.279000,0.096000,0.959000,0.312000,2.639000,0.808000,4.767000,1.952000
PING_MBULK,666666.690000,307219.630000,0.554000,0.400000,0.024000,0.024000,0.279000,0.088000,1.887000,1.864000,4.895000,5.784000,7.543000,7.120000
SET,606060.620000,287179.500000,0.776000,0.423000,0.032000,0.000000,0.431000,0.120000,2.631000,1.664000,4.343000,3.704000,6.847000,4.640000
GET,800000.000000,262725.750000,0.495000,0.257000,0.032000,0.008000,0.327000,0.136000,1.503000,0.736000,2.255000,2.368000,3.559000,2.800000
INCR,740740.750000,197802.190000,0.628000,0.276000,0.032000,0.000000,0.343000,0.104000,2.279000,1.624000,3.783000,2.344000,4.959000,2.720000
LPUSH,444444.440000,115384.620000,1.092000,0.300000,0.024000,0.000000,1.087000,0.032000,2.183000,1.568000,3.679000,1.720000,4.415000,2.328000
RPUSH,454545.470000,142450.120000,1.058000,0.335000,0.024000,0.000000,1.103000,0.064000,1.807000,2.344000,2.327000,2.424000,3.159000,1.872000
LPOP,476190.470000,85995.090000,1.029000,0.151000,0.024000,0.000000,1.087000,0.040000,1.783000,0.240000,2.119000,0.960000,3.287000,0.672000
RPOP,487804.880000,138888.900000,0.980000,0.289000,0.024000,0.000000,1.071000,0.096000,1.711000,0.936000,2.039000,0.856000,2.991000,2.240000
SADD,512820.500000,120772.970000,0.967000,0.250000,0.024000,0.000000,1.071000,0.080000,1.551000,0.360000,1.799000,1.048000,3.503000,1.568000
HSET,416666.660000,34782.590000,1.159000,0.059000,0.032000,0.000000,1.095000,0.032000,2.175000,0.784000,3.839000,0.608000,4.207000,0.152000
SPOP,487804.880000,78037.910000,1.008000,0.173000,0.024000,0.000000,1.079000,0.072000,1.759000,0.304000,2.015000,0.280000,3.175000,0.336000
LPUSH (needed to benchmark LRANGE),526315.810000,55555.560000,0.928000,0.104000,0.024000,0.000000,1.055000,0.024000,1.719000,0.208000,2.063000,0.352000,2.775000,0.200000
LRANGE_100 (first 100 elements),165289.250000,32069.080000,2.213000,0.590000,0.200000,0.048000,1.399000,0.352000,7.391000,1.136000,13.247000,6.296000,21.503000,5.072000
MSET (10 keys),206185.560000,31100.970000,2.385000,0.356000,0.152000,0.032000,1.999000,0.128000,5.287000,1.280000,7.615000,2.488000,12.279000,2.376000
