"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","952380.94","0.362","0.024","0.255","0.959","2.855","4.767"
"PING_MBULK","952380.94","0.303","0.048","0.255","0.583","1.295","2.191"
"SET","800000.00","0.508","0.032","0.335","1.671","2.543","4.239"
"GET","952380.94","0.350","0.032","0.263","0.983","1.863","3.263"
"INCR","740740.75","0.524","0.032","0.343","1.703","2.463","3.703"
"LPUSH","500000.00","0.951","0.024","1.055","1.887","3.039","3.975"
"RPUSH","512820.50","0.963","0.024","1.047","1.775","2.327","2.903"
"LPOP","540540.56","0.910","0.024","1.055","1.671","2.055","3.287"
"RPOP","487804.88","0.980","0.024","1.071","1.711","2.039","2.663"
"SADD","512820.50","0.967","0.024","1.071","1.551","1.799","3.503"
"HSET","416666.66","1.159","0.032","1.119","2.087","4.087","4.263"
"SPOP","487804.88","1.008","0.024","1.079","1.807","2.119","3.239"
"LPUSH (needed to benchmark LRANGE)","526315.81","0.928","0.024","1.047","1.783","2.079","2.943"
"LRANGE_100 (first 100 elements)","141843.97","2.718","0.200","1.607","7.799","17.087","21.551"
"MSET (10 keys)","206185.56","2.385","0.128","2.039","5.287","7.615","11.487"
